product_id,product_reference,country_id,country,region_id,region,farm,producer_id,producer,variety_id,variety,process_id,process,cup_profile,cup_score,bag_size_kg,bags,bags_available,price_per_kg,harvest_date,status,rotation_number,marks,elevation
61,product_52,19,Colombia,15,Huila,Quebraditas,9,producer_6,4,Gesha,4,Washed + Thermal Shock,"Floral, peach, tropical fruit",88+,24,13.00,0.00,30.00,August 2025,Sold Out,1125/29/17,Q-02 - GESHA,1850masl
23,product_53,19,Colombia,15,Huila,Quebraditas,9,producer_6,4,Gesha,4,Washed + Thermal Shock,"Floral, peach, tropical fruit",88+,24,14.00,0.00,30.00,April 2025,Sold Out,725/30/15 - Q-02,GESHA - 03/2928/00054,1850masl
105,product_54,19,Colombia,15,Huila,Quebraditas,9,producer_6,22,Sidra,4,Washed + Thermal Shock,"Pink lemonade, honeysuckle, Turkish delight",90,24,10.00,3.00,26.50,August 2025,Sold Out,1125/29/18,Q-05 - SIDRA,1850masl
122,product_55,19,Colombia,15,Huila,Quebraditas,9,producer_6,22,Sidra,4,Washed + Thermal Shock,"Pink lemonade, honeysuckle, Turkish delight",90,24,12.00,0.00,27.00,December 2025,Sold Out,,,1850masl
25,product_56,19,Colombia,15,Huila,Quebraditas,9,producer_6,22,Sidra,4,Washed + Thermal Shock,"Pink lemonade, honeysuckle, Turkish delight",90,24,33.00,0.00,26.50,April 2025,Sold Out,725/30/17 - Q-05,SIDRA - 03/2928/00056,1850masl
15,product_57,19,Colombia,15,Huila,Quebraditas,9,producer_6,5,Pink Bourbon,4,Washed + Thermal Shock,"Tropical fruit, grapefruit, orange",88,24,33.00,0.00,18.50,April 2025,Sold Out,725/30/7 - Q-06,PINK BOURBON - 03/2928/00046,1850masl
102,product_58,19,Colombia,15,Huila,Quebraditas,9,producer_6,5,Pink Bourbon,4,Washed + Thermal Shock,"Tropical fruit, grapefruit, orange",88,24,12.00,0.00,20.00,August 2025,Sold Out,1125/29/19,Q-06 - PINK BOURBON,1850masl
117,product_59,19,Colombia,15,Huila,Quebraditas,9,producer_6,5,Pink Bourbon,4,Washed + Thermal Shock,"Tropical fruit, grapefruit, orange",88,24,12.00,3.00,20.00,December 2025,Incoming,,,1850masl
27,product_60,19,Colombia,15,Huila,Quebraditas,9,producer_6,13,Caturra Chiroso,4,Washed + Thermal Shock,"Lavender, citrus, peach",88,24,6.00,2.00,26.00,April 2025,Available,725/30/19 - Q-11,CHIROSO LAVADO - 03/2928/00058,1850masl
67,product_61,19,Colombia,10,Huila,Quebraditas,9,producer_6,13,Caturra Chiroso,4,Washed + Thermal Shock,"Lavender, citrus, peach",88,24,12.00,6.00,26.00,August 2025,Available,1125/29/20,Q-11 - CHIROSO WASHED,1850masl
136,product_62,19,Colombia,15,Huila,Quebraditas,9,producer_6,31,Maragesha,4,Washed + Thermal Shock,TBC,87.75,24,4.00,0.00,30.00,December 2025,Sold Out,,,1850masl
6,product_63,19,Colombia,10,Huila,Quebraditas,9,producer_6,16,Typica Mejorado,4,Washed + Thermal Shock,"Raspberry, passion fruit, floral",89,24,1.00,0.00,29.00,June 2024,Sold Out,1024/74/16,TYPICA MEJORADO 3/2928/00037,1850masl
